Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Aarsha Rajan,https://www.crunchbase.com/person/aarsha-rajan,,,"Bengaluru, Karnataka, India",Aarsha Rajan,,,,,,,,,,,"251,305"
Ezequiel Pietracupa,https://www.crunchbase.com/person/ezequiel-pietracupa,,,"Buenos Aires, Distrito Federal, Argentina","Ezequiel Pietracupa has a degree in Agribusiness Administration, Director in Digital Marketing and Project Manager.  Co-Founder of AgroFind...",,,,,,,,,,,"251,306"
Tom Phelps,https://www.crunchbase.com/person/tom-phelps,,,,"President, has been in the telecommunications industry for over 40 years. Tom has planned, implemented and managed many telecommunications p...",,,,,,,,,,,"251,297"
Suwida Kingmuangkow,https://www.crunchbase.com/person/suwida-kingmuangkow,,,"Bangkok, Krung Thep, Thailand",Suwida Kingmuangkow - Partner @ Expara IDM Ventures,,,,,,,,,,,"251,291"
Kenny Lee,https://www.crunchbase.com/person/kenny-lee-6a5b,,,"Guangzhou, Guangdong, China",Kenny Lee,,,,,,,,,,,"251,337"
Ai Yang,https://www.crunchbase.com/person/ai-yang-ai-yang,,,,"Ai Yang is partner at Zhongke Advanced Technology,",Investment Partner,,,1,,,,,,,"251,309"
Roland Emmans,https://www.crunchbase.com/person/roland-emmans,,,,Roland Emmans,Investment Partner,,,2,,,,,,,"251,310"
Ye Delin,https://www.crunchbase.com/person/ye-delin,,,,Ye Delin is the founder and chairman of New Pearl Group.,,,,,,,,,,,"251,311"
"Tiến sĩ, Bác sĩ CKII Hoàng Lương",https://www.crunchbase.com/person/tiến-sĩ-bác-sĩ-ckii-hoàng-lương,,,"Vietnam, Asia","Tiến sĩ, Bác sĩ CKII Hoàng Lương là một chuyên gia chăm sóc sức khỏe có nhiều kinh nghiệm và tâm huyết với ngành y tế. Ông hiện đang là Phó ...",,,,,,,,,,,"251,312"
להט ברק,https://www.crunchbase.com/person/להט-ברק-9c64,,,"Israel, Asia",ברק להט מאמן אישי,,,,,,,,,,,"251,313"
Joshua Gould,https://www.crunchbase.com/person/joshua-gould-5fc2,,,,Joshua Gould,,,,,,,,,,,"251,347"
Kazayuki Usui,https://www.crunchbase.com/person/kazayuki-usui,,,,Kazayuki Usui,,,,,,,,,,,"251,321"
Till Knorr,https://www.crunchbase.com/person/till-knorr,1,1,,Till Knorr,Individual/Angel,,1,,,,1,,,,"251,327"
Diane Brouilliard,https://www.crunchbase.com/person/diane-brouilliard,,,"Austin, Texas, United States",Diane Brouilliard Head of Talent and Networks at Sante Ventures. Diane holds a bachelor of science degree in human organizational developme...,Investment Partner,,,2,,,,,,,"251,329"
Filipe Aguiar,https://www.crunchbase.com/person/filipe-aguiar,,,"Lisboa, Lisboa, Portugal","Filipe obtained an Applied Chemistry, Biotechnology Degree in 2003 from the Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa,...",,,,,,,,,,,"251,331"
Niko Slavnic,https://www.crunchbase.com/person/niko-slavnic,,,"Ljubljana, Ljubljana Urban Commune, Slovenia","Serial Entrepreneur, Angel Investor, Growth Expert",,,,,,,,,,,"251,317"
Nicholas Day,https://www.crunchbase.com/person/nicholas-day,,,,Nicholas Day,,,,,,,,,,,"251,377"
Fortune Sohn,https://www.crunchbase.com/person/fortune-sohn,,,"Seoul, Seoul-t'ukpyolsi, South Korea",Fortune Sohn - Investment Manager @ Stonebridge Capital,Investment Partner,,,1,,,,,,,"251,336"
Annie McDougall Watson,https://www.crunchbase.com/person/annie-mcdougall-watson,,,"Bilbao, Pais Vasco, Spain",Annie McDougall Watson,,,,,,,,,,,"251,340"
João Ribeiro,https://www.crunchbase.com/person/joão-ribeiro,,,"São Paulo, Sao Paulo, Brazil",João Ribeiro,,,,,,,,,,,"251,378"
Xiaofei Tao,https://www.crunchbase.com/person/xiaofei-tao,,,,Xiaofei Tao the founding partner of Invent Investment.,Investment Partner,,,1,,,,,,,"251,318"
Phan Duc Tu,https://www.crunchbase.com/person/phan-duc-tu,,,,Phan Duc Tu,,,,,,,,,,,"251,330"
Randall Fojtasek,https://www.crunchbase.com/person/randall-fojtasek,,,,Randall Fojtasek is a CEO and a Managing Partner of CenterOak.,Investment Partner,,,1,,,,,,,"251,323"
Alan Breugem,https://www.crunchbase.com/person/alan-breugem,,,"Windsor, Ontario, Canada",Founder and Developer ToolsLite,,,,,,,,,,,"251,328"
Alexander Kozan,https://www.crunchbase.com/person/alexander-kozan,,,,Alexander Kozan,,,,,,,,,,,"251,316"
ali reza,https://www.crunchbase.com/person/mohammadmoein-pisodeh,,,"Urmia, Azarbayjan-e Bakhtari, Iran","A chess prodigy, Firouzja won the Iranian Chess Championship at age 12 and earned the Grandmaster title at 14. At 16, Firouzja became the se...",,,,,,,,,,,"251,343"
Farzad Mohamadi,https://www.crunchbase.com/person/farzad-mohamadi,,,,Farzad Mohamadi,,,,,,,,,,,"251,320"
Jason Chia,https://www.crunchbase.com/person/jason-chia,,,"London, England, United Kingdom",Jason Chia,,,,,,,,,,,"251,333"
Remender Chile,https://www.crunchbase.com/person/remender-chile,,,,Soluciones a tu alcance en un mundo lleno de problemas. Remender es una herramienta gratuita que facilita la vida de los consumidores en Chi...,,Venture,,,,,,,,,"251,337"
Ron Seelig,https://www.crunchbase.com/person/ron-seelig,,,"Kingsthorpe, Northamptonshire, United Kingdom",Ron Seelig,,,,,,,,,,,"251,314"
Michael Lalor,https://www.crunchbase.com/person/michael-lalor,,,,Michael Lalor,Investment Partner,,,1,,,,,,,"251,325"
Shuzo Yoshii,https://www.crunchbase.com/person/shuzo-yoshii,1,,"Tottori, Tottori, Japan",Shuzo Yoshii,Individual/Angel,,1,,,,,,,,"251,334"
Franck Portais,https://www.crunchbase.com/person/franck-portais-4311,,,"Paris, Ile-de-France, France",Franck Portais is a Managing Partner at ALANTRA .,Investment Partner,,,1,,,,,,,"251,335"
Michael Gera,https://www.crunchbase.com/person/dr-michael-gera,,,"London, England, United Kingdom",Michael Gera,,,,,,,,,,,"251,315"
Tan Sri Datuk Ling,https://www.crunchbase.com/person/tan-sri-datuk-ling,,,,Tan Sri Datuk Ling is the Founder and Chairman at Sarawak Oil Palms.,,,,,,,,,,,"251,225"
Ludovico Maggiore,https://www.crunchbase.com/person/ludovico-maggiore,1,,,Ludovico Maggiore,Individual/Angel,Seed,1,,,,,,,,"251,326"
Hitomi Suzuki,https://www.crunchbase.com/person/hitomi-suzuki,,,,Contribute to maximizing Artisto's non-musical income through avex. Leading the development of Contents for women as a launching member of t...,,,,,,,,,,,"251,368"
Christopher Hash,https://www.crunchbase.com/person/christopher-hash,,,,GIENC President & CEO Christopher Hash.,Investment Partner,,,1,,,,,,,"251,341"
Elizabeth Burgess,https://www.crunchbase.com/person/elizabeth-burgess,,,"New York, New York, United States","Elizabeth Burgess is a Partner and Head of the Bridges U.S. Sustainable Growth Fund, where she leads on fund strategy, origination, investme...",,,,,,,,,,,"251,246"
Brian Auld,https://www.crunchbase.com/person/brian-auld-7d95,,,,Brian Auld,Investment Partner,,,1,,,,,,,"251,366"
Zeke Shore,https://www.crunchbase.com/person/zeke-shore,,,"Brooklyn, New York, United States",Zeke Shore,,,,,,,,,,,"251,342"
Nguyễn Tiến Dũng,https://www.crunchbase.com/person/nguyễn-tiến-dũng,,,"Hanoi, NA - Vietnam, Vietnam",Bác sĩ Nguyễn Tiến Dũng là một trong những gương mặt tiêu biểu ở lĩnh vực Nhi khoa. Hiện đang là tác giả cho blog https://bacsidung.webflow....,,,,,,,,,,,"251,367"
Harvinder Pal Singh,https://www.crunchbase.com/person/harvinder-pal-singh,,,,Harvinder Pal Singh,,,,,,,,,,,"251,344"
Zaheer Ahmed,https://www.crunchbase.com/person/zaheer-ahmed,,,"United Kingdom, Europe",Zaheer Ahmed,,,,,,,,,,,"251,343"
Liu Jieqiong,https://www.crunchbase.com/person/liu-jieqiong,,,,Liu Jieqiong is the Managing Director of Hankang Capital.,Investment Partner,,,1,,,,,,,"251,345"
Thomas Carrier,https://www.crunchbase.com/person/thomas-carrier,,,"Princeton, New Jersey, United States",Thomas Carrier,,,,,,,,,,,"251,354"
Joe Troy,https://www.crunchbase.com/person/joe-troy,,,,"With over 20 years of Sales & Marketing experience, Joe Troy is a Senior Partner at 335 Ventures LLC. Joe started his career in the printer ...",,,,,,,,,,,"251,356"
A.G.J. Froolik,https://www.crunchbase.com/person/a-g-j-froolik,,,,A.G.J. Froolik,,,,,,,,,,,"251,357"
Patrice Ramnout,https://www.crunchbase.com/person/patrice-ramnout,,,"Paris, Ile-de-France, France",Patrice Ramnout,,,,,,,,,,,"251,364"
Brijmohan Lall Munjal,https://www.crunchbase.com/person/brijmohan-lall-munjal,,,,Brijmohan Lall Munjal,,,,,,,,,,,"251,359"
Derek Lloyd,https://www.crunchbase.com/person/derek-lloyd-58ba,,,,"Operations Leader & accomplished Technologist, experienced in Commodity Management and Loan Servicing.",,,,,,,,,,,"251,372"
Sachin Bansal,https://www.crunchbase.com/person/sachin-bansal-2,,,"Bengaluru, Karnataka, India",Sachin Bansal,,,,,,,,,,,"251,368"
Hidetsune Goto,https://www.crunchbase.com/person/hidetsune-goto,,,,Hidetsune Goto - Partner @ Integral Corporation,,,,,,,,,,,"251,363"
Tod Bensen,https://www.crunchbase.com/person/tod-bensen,,,,"Tod Bensen is a venture capitalist who has spent most of his adult life in London, England and now lives in Woodside, California. After grad...",,,,,,,,,,,"251,351"
Renganathan Ramamoorthy,https://www.crunchbase.com/person/renganathan-ramamoorthy,,,"Greater Seattle Area, Washington, United States",Renganathan Ramamoorthy currently works as a Group Product Manager at Google. In the past he's worked at Amazon and Siemens and attended Thu...,,,,,,,,,,,"251,346"
Klaus Dembowsky,https://www.crunchbase.com/person/klaus-dembowsky,,,"Munich, Bayern, Germany",Klaus Dembowsky has been CEO of amcure since 2015. He has over 25 years of experience in research and development for pharmaceutical and bio...,,,,,,,,,,,"251,360"
Richard Luigjes,https://www.crunchbase.com/person/richard-luigjes,,,"Amersfoort, Utrecht, The Netherlands",Richard Luigjes is the fund development manager for Stimuleringsfonds Volkshuisvesting Nederland.,Investment Partner,,,1,,,,,,,"251,361"
Johan Van Damme,https://www.crunchbase.com/person/johan-van-damme,1,,,Johan Van Damme is an individual investor.,Individual/Angel,,1,,,,,,,,"251,367"
Sade Panahi,https://www.crunchbase.com/person/sade-panahi,,,"Las Vegas, Nevada, United States",Sade Panahi,,,,,,,,,,,"251,375"
Marcel Vogler,https://www.crunchbase.com/person/marcel-vogler,,,"Cologne, Nordrhein-Westfalen, Germany",Marcel Vogler,,,,,,,,,,,"251,371"
Howard Donaldson,https://www.crunchbase.com/person/howard-donaldson,,,"Vancouver, British Columbia, Canada",Howard Donaldson is the CFO at Vanedge Capital where he provides financial and operational oversight for the fund and its portfolio companie...,,,,,,,,,,,"251,348"
Andrew Hillman,https://www.crunchbase.com/person/andrew-hillman-14a7,,,,Andrew Hillman,,Early Stage Venture,,,,,,,,,"251,355"
Małgorzata Darmas,https://www.crunchbase.com/person/małgorzata-darmas-3303,,,,Małgorzata Darmas,Investment Partner,,,1,,,,,,,"251,352"
Shainesh Sharma,https://www.crunchbase.com/person/shainesh-sharma-1121,,,"Bengaluru, Karnataka, India",Shainesh Sharma,,,,,,,,,,,"251,383"
Patrick Valibus,https://www.crunchbase.com/person/patrick-valibus,,,"Lyon, Rhone-Alpes, France",Patrick Valibus,,,,,,,,,,,"251,374"
Leonardo Guirado Vasone,https://www.crunchbase.com/person/leonardo-guirado-vasone,,,,Leonardo Guirado Vasone,,,,,,,,,,,"251,347"
Michael Klein,https://www.crunchbase.com/person/michael-klein-6,,,"New York, New York, United States",Michael Klein is the Global Business Treasurer - Global Consumer Bank at Citi.,,,,,,,,,,,"251,366"
Tim Brown,https://www.crunchbase.com/person/tim-brown-3,,,"Corcoran, California, United States",Tim Brown,,,,,,,,,,,"251,373"
Anup Misra,https://www.crunchbase.com/person/anup-misra-c1db,,,"New York, New York, United States",Anup Misra,,,,,,,,,,,"251,370"
James Carmichael,https://www.crunchbase.com/person/james-carmichael,,,"Orlando, Florida, United States",James Carmichael,,,,,,,,,,,"251,349"
Leo Xia,https://www.crunchbase.com/person/leo-xia-147d,,,"Jingan, Shanghai, China",Leo Xia is the Director at CMC Capital Group. Leo Xia attended The University of Hong Kong.,Investment Partner,,,1,,,,,,,"251,369"
Jens Schwamborn,https://www.crunchbase.com/person/jens-schwamborn-2242,,,"Germany, Europe","Jens Schwamborn, Professor an der Universität Luxemburg, erklärt, welche Arbeiten wann zu erledigen sind und worauf man zu welcher Jahreszei...",,,,,,,,,,,"251,362"
Adrian Merkel,https://www.crunchbase.com/person/adrian-merkel,,,"Bensheim, Hessen, Germany","Adrian Merkel is the Managing Director, Co-Founder & Co-Chief Executive Officer	at Framence",,,,,,,,,,,"251,363"
Sivvala Devikumari,https://www.crunchbase.com/person/sivvala-devikumari,,,,Sivvala Devikumari,,,,,,,,,,,"251,317"
Kathy Slack,https://www.crunchbase.com/person/kathy-slack,,,"Reading, Reading, United Kingdom",Kathy Slack - Chief Executive Officer @ Enterprise M3,Investment Partner,,,1,,,,,,,"251,376"
Sina Walther,https://www.crunchbase.com/person/sina-walther,,,"Karben, Hessen, Germany",Sina Walther,,,,,,,,,,,"251,327"
Sylvain REAUX,https://www.crunchbase.com/person/sylvain-reaux,,,,Sylvain REAUX,,,,,,,,,,,"251,377"
Mitsufumi Matsumoto,https://www.crunchbase.com/person/mitsufumi-matsumoto,,,,"Mitsufumi Matsumoto, Director of Kansai Investment Sales, SMBC Venture Capital Co., Ltd.",Investment Partner,,,1,,,,,,,"251,378"
Suzanne L. Dwyer,https://www.crunchbase.com/person/suzanne-l-dwyer,,,"Boston, Massachusetts, United States",Suzanne L. Dwyer is the President at Massachusetts Capital Resource Company. Suzanne L. Dwyer attended Babson F.W. Olin Graduate School of B...,,,,,,,,,,,"251,387"
Burton Gray,https://www.crunchbase.com/person/burton-gray,2,,,Burton Gray,Individual/Angel,Seed,1,,,,,,,,"251,394"
Phil Trueman,https://www.crunchbase.com/person/phil-trueman,,,"Leeds, Leeds, United Kingdom",Phil Trueman,Investment Partner,,,1,,,,,,,"251,385"
Eduardo Fierro,https://www.crunchbase.com/person/eduardo-fierro,2,,,Eduardo Fierro,Individual/Angel,,1,,,,,,,,"251,391"
Jan Jaegermark,https://www.crunchbase.com/person/jan-jaegermark,,,"Hornslet, Midtjylland, Denmark","<a href=""https://rawblog.dk/"">RawBlog</a>",,,,,,,,,,,"251,397"
Benjamin Gunst,https://www.crunchbase.com/person/benjamin-gunst,,,"Canada, North America",I am Canadian Digital Nomad that is starting his investments career. I am currently in Europe working and traveling.,,Seed,,,,,,,,,"251,395"
Guillaume Le Strat,https://www.crunchbase.com/person/guillaume-le-strat-143b,1,,,Guillaume Le Strat,Individual/Angel,,1,,,,,,,,"251,392"
Pentti Bruun,https://www.crunchbase.com/person/pentti-bruun,,,"Helsinki, Southern Finland, Finland",Pentti Bruun,,,,,,,,,,,"251,388"
Marek Frey,https://www.crunchbase.com/person/marek-frey,1,,,Marek Frey,Individual/Angel,Seed,1,,,,,,,,"251,379"
Kris Kourtis,https://www.crunchbase.com/person/kris-kourtis-4,,,"West Hollywood, California, United States","Born January 23rd 1983, Kris Kourtis is TV commentator, Author, Nutritionist, Actor, and Radio Celebrity. Kris Kourtis went to Columbia Acad...",,,,,,,,,,,"251,389"
Manish Gulechha,https://www.crunchbase.com/person/manish-gulechha,,,,"Manish is the captain of the ship at Snapooh, driving the vision for the team. A passionate serial Marwari entrepreneur in all spirits, Mani...",,,,,,,,,,,"251,386"
Frank Young,https://www.crunchbase.com/person/frank-young-3,,,,"Frank Young, M.D., Ph.D., is a former Commissioner of the FDA and has over 45 years of experience in medicine, academia and government. Afte...",,,,,,,,,,,"251,390"
Jerry Yang,https://www.crunchbase.com/person/jerry-yang-3,1,,,Jerry Yang,Individual/Angel,Seed,1,,,,,,,,"251,381"
Parag Chariya,https://www.crunchbase.com/person/parag-chariya,,,"Junagadh, Gujarat, India",Parag Chariya the owner of studio Shri Shakti is a renowned producer-director presenting many Gujarati folk music videos. He has launched ma...,,,,,,,,,,,"251,383"
Pickup Matthew,https://www.crunchbase.com/person/pickup-matthew-1,,,"England, United Kingdom, Europe",Pickup Matthew,,,,,,,,,,,"251,394"
Graham Ray,https://www.crunchbase.com/person/graham-ray,,,"San Francisco, California, United States","As CEO of DeepRoot, Graham leads the development of products and services while managing the sales team and international partners. Since th...",,,,,,,,,,,"251,399"
Kerry Hughes,https://www.crunchbase.com/person/kerry-hughes,,,"London, England, United Kingdom",Kerry Hughes is a Head of Portfolio and Investment at Earthworm Group.,Investment Partner,,,2,,,,,,,"251,393"
Vinod Nair,https://www.crunchbase.com/person/vinod-nair-ce4a,,,"Houma, Louisiana, United States",Dr. Nair has over twenty years of experience in both interventional cardiology and computer science. He is board certified in internal medic...,,,,,,,,,,,"251,389"
emre karahan,https://www.crunchbase.com/person/emre-karahan,,,"United States, North America",emre karahan,,Convertible Note,,,,,,,,,"251,380"
Héderson Cassimiro,https://www.crunchbase.com/person/héderson-cassimiro,,,"Ipatinga, Minas Gerais, Brazil",Héderson Cassimiro is the founder and CEO of GestorSindical.,,,,,,,,,,,"251,322"
Bernhard Juchheim,https://www.crunchbase.com/person/bernhard-juchheim,,,,Bernhard Juchheim,,,,,,,,,,,"251,398"
Hiromitsu Yasue,https://www.crunchbase.com/person/hiromitsu-yasue,1,,,Hiromitsu Yasue,Individual/Angel,,1,,,,,,,,"251,302"
Humberto Casagrande,https://www.crunchbase.com/person/humberto-casagrande,,,,Humberto Casagrande,,,,,,,,,,,"251,335"
Daichi Hayakawa,https://www.crunchbase.com/person/daichi-hayakawa,,,,"Mr. Hayakawa joined Mitsui & Co., Ltd. in 2007. He was engaged in exportation of steel products in Iron & Steel Products Business Unit, and ...",,,,,,,,,,,"251,323"
Jean-Luc Viselé,https://www.crunchbase.com/person/jean-luc-viselé,,,"Dijon, Bourgogne, France",Jean-Luc Viselé is the Director at Atol Consulting & Developments. Jean-Luc attended everywhere.,,,,,,,,,,,"251,293"
Sumant Patil,https://www.crunchbase.com/person/sumant-patil,1,,,Sumant Patil,Individual/Angel,,1,,,,,,,,"251,353"
Marko Rant,https://www.crunchbase.com/person/marko-rant,,,"Slovenia, Europe",Marko Rant is the Founder of Borza terjatev.,,,,,,,,,,,"251,313"
Xổ Số Mega,https://www.crunchbase.com/person/xổ-số-mega,,,,Xổ Số Mega 645 https://xsmega645.com/ là một trong những trang web uy tín chuyên cung cấp cho người đọc những kết quả xổ số của Vietlott. Kế...,,,,,,,,,,,"251,364"
Esaie Diei,https://www.crunchbase.com/person/esaie-diei,,,"Ikoyi, Lagos, Nigeria",Esaie Diei,,,,,,,,,,,"251,333"
M. Brigham,https://www.crunchbase.com/person/m-brigham,,,"United States, North America","I am committed to my team, the services we provide, and more importantly, our clients. For every client we service, our commitment also goes...",Investment Partner,Early Stage Venture,,1,,,,,,,"251,331"
Mochiduki Akihiko,https://www.crunchbase.com/person/mochiduki-akihiko,,,,Mochiduki Akihiko - Auditor @ DIP Corporation,,,,,,,,,,,"251,320"
Sujit Kumar Kar,https://www.crunchbase.com/person/sujit-kumar-kar,,,"Bhubaneshwar, Orissa, India",Sujit Kumar Kar,,,,,,,,,,,"251,372"
Rohit Taak,https://www.crunchbase.com/person/rohit-taak,,,,"Hello, I am homeloanonline.in and i love to give banking related information to people.",,,,,,,,,,,"251,311"
