Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
Istanbul Technical University,https://www.crunchbase.com/organization/istanbul-technical-university,5,,"Istanbul, Istanbul, Turkey",Istanbul Technical University is a state university founded as the Imperial School of Naval Engineering of the Ottoman Empire.,University Program,,,"35,233"
Federal Transit Administration,https://www.crunchbase.com/organization/federal-transit-administration,23,,"Washington, District of Columbia, United States",The Federal Transit Administration (FTA) provides financial and technical assistance to local public transit systems.,Government Office,,21,"35,182"
Ireland Strategic Investment Fund,https://www.crunchbase.com/organization/ireland-strategic-investment-fund,28,7,"Dublin, Dublin, Ireland",An €8.0 billion sovereign development fund with a mandate to invest on a commercial basis with a resulting economic impact in Ireland.,Government Office,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",17,"35,167"
ASU Venture Devils,https://www.crunchbase.com/organization/asu-venture-devils,132,2,"Tempe, Arizona, United States",Arizona State University's venture capital arm.,"Accelerator, University Program",Seed,,"35,153"
Carlsen Center for Innovation & Entrepreneurship,https://www.crunchbase.com/organization/carlsen-center-for-innovation-entrepreneurship,1,,"Sacramento, California, United States","Our mission is to make innovation and entrepreneurship simple, accessible, and pervasive throughout the Greater Sacramento Region.",University Program,,,"35,135"
Rub,https://www.crunchbase.com/organization/usda-574c,2,,,Rub. Department of Agriculture .rub,Government Office,Grant,2,"35,082"
Coghill Capital Management,https://www.crunchbase.com/organization/coghill-capital-management,3,2,"Chicago, Illinois, United States",Coghill Capital Management (CCM) is a Chicago-based investment advisor specializing in small cap value equity management.,Government Office,Seed,,"35,064"
Patient-Centered Outcomes Research Institute,https://www.crunchbase.com/organization/patient-centered-outcomes-research-institute,14,,"Washington, District of Columbia, United States",The Patient-Centered Outcomes Research Institute helps patients and their health care providers make more informed decisions.,Government Office,,13,"34,802"
Hefei Municipal Government,https://www.crunchbase.com/organization/hefei-municipal-government,1,,,Hefei Municipal Government is a municipal office of Hefei government.,Government Office,,1,"34,786"
Queensland Investment Corporation,https://www.crunchbase.com/organization/queensland-investment-corporation,13,2,"Brisbane, Queensland, Australia",Queensland Investment Corporation is an investment company.,Government Office,,6,"34,713"
Federal Emergency Management Agency,https://www.crunchbase.com/organization/federal-emergency-management-agency-fema,14,,"Washington, District of Columbia, United States",The Federal Emergency Management Agency is an agency of the United States Department of Homeland Security.,Government Office,,10,"34,697"
Federal Highway Administration,https://www.crunchbase.com/organization/federal-highway-administration,12,2,"Washington, District of Columbia, United States",The FHWA is the agency under the US-Department of Transportation managing all surface transportation.,Government Office,,12,"34,685"
City of New York,https://www.crunchbase.com/organization/city-of-new-york,1,,"New York, New York, United States","City of New York, often called as New York City, is the most populous city in United States.",Government Office,,,"34,624"
Vilnius University,https://www.crunchbase.com/organization/vilnius-university,1,,"Vilnius, Vilniaus Apskritis, Lithuania",Vilnius University is a school in Vilnius.,University Program,,,"34,464"
University of Zurich,https://www.crunchbase.com/organization/university-of-zurich,1,,"Zürich, Zurich, Switzerland","University of Zurich is a higher education institute that offers a wide variety of Master’s, Bachelor’s, and Ph.D. programs.",University Program,,,"34,018"
Dubai Silicon Oasis Authority,https://www.crunchbase.com/organization/dubai-silicon-oasis-authority,,,"Dubai, Dubai, United Arab Emirates","Dubai Silicon Oasis Authority, a government-owned free zone, promotes modern technology based industries with in-house business services.",Government Office,,,"33,660"
Agència per la Competitivitat de l'Empresa,https://www.crunchbase.com/organization/agència-per-la-competitivitat-de-l-empresa,7,,"Barcelona, Catalonia, Spain",Catalan government agency for improving catalan companies competitiveness and innovation,Government Office,Grant,6,"33,646"
NSW Government,https://www.crunchbase.com/organization/nsw-government,10,,"Sydney, New South Wales, Australia",NSW Government is a global and Asia-Pacific cultural hub.,Government Office,Grant,6,"33,599"
Malaysian Technology Development Corporation,https://www.crunchbase.com/organization/malaysian-technology-development-corporation-sdn-bhd,10,1,"Kuala Lumpur, Kuala Lumpur, Malaysia","Malaysian Technology Development is a venture capital firm specializing in incubation, seed, start-up, and early stage financing.","Government Office, Incubator",,3,"33,505"
Foreign & Commonwealth Office - UK,https://www.crunchbase.com/organization/foreign-commonwealth-office,4,,"London, England, United Kingdom","Foreign & Commonwealth Office is a government organization that provides travel alerts, tips, and advice for tourists and travellers.",Government Office,,1,"33,495"
U.K. Export Finance,https://www.crunchbase.com/organization/u-k-export-finance,3,1,"London, England, United Kingdom",U.K. Export Finance is an export credit agency and a government department.,Government Office,,3,"33,463"
Greater London Authority,https://www.crunchbase.com/organization/greater-london-authority,17,,"London, England, United Kingdom",Greater London Authority is a government administration that provides citywide leadership and create policies to improve for all.,Government Office,Grant,15,"33,290"
Urban Redevelopment Authority of Pittsburgh,https://www.crunchbase.com/organization/urban-redevelopment-authority-of-pittsburgh,22,4,"Pittsburgh, Pennsylvania, United States",Venture capital fund dedicated to economic development and job creation in the city of Pittsburgh,"Government Office, Micro VC, Venture Capital","Debt, Early Stage Venture, Seed",,"33,287"
Canada Growth Fund,https://www.crunchbase.com/organization/canada-growth-fund,2,,"Toronto, Ontario, Canada",Canada Growth Fund is a innovative funding to help accelerate Canada’s decarbonization strategy.,Government Office,,1,"33,173"
Spanish National Research Council (CSIC),https://www.crunchbase.com/organization/spanish-national-research-council-csic,1,,"Madrid, Madrid, Spain","The Spanish National Research Council (CSIC) is the largest public institution dedicated to research in Spain and the third,",Government Office,,1,"32,987"
Korea Institute of Science and Technology,https://www.crunchbase.com/organization/korea-institute-of-science-and-technology,1,,"Seoul, Seoul-t'ukpyolsi, South Korea",Korea Institute of Science and Technology is a school.,University Program,,,"32,864"
Advanced Research Projects Agency for Health,https://www.crunchbase.com/organization/advanced-research-projects-agency-for-health,3,,"Bethesda, Maryland, United States",Advanced Research Projects Agency for Health supports the development of high-impact research to drive biomedical and health.,Government Office,,2,"32,664"
Maastricht University,https://www.crunchbase.com/organization/maastricht-university,1,1,"Maastricht, Limburg, The Netherlands","Maastricht University is an international research institute located in Maastricht, the Netherlands.",University Program,,,"32,547"
Natural Sciences and Engineering Research Council of Canada (NSERC),https://www.crunchbase.com/organization/nserc-natural-sciences-and-engineering-research-council-of-canada,46,6,"Ottawa, Ontario, Canada",NSERC is a Canadian government agency that provides grants for research in the natural sciences and in engineering.,Government Office,,15,"32,461"
MIT delta v,https://www.crunchbase.com/organization/mit-global-founders-skills-accelerator,130,15,"Cambridge, Massachusetts, United States","delta v is MIT’s premier venture accelerator, that prepares entrepreneurs to hit escape velocity and launch into the real world.","Accelerator, University Program","Early Stage Venture, Grant",67,"32,454"
New York State Department of Transportation,https://www.crunchbase.com/organization/new-york-state-department-of-transportation,2,1,"Albany, New York, United States",The state department of transportation for New York.,Government Office,,2,"32,434"
BrightStar Wisconsin Foundation,https://www.crunchbase.com/organization/brightstar-wisconsin-found,59,6,"Milwaukee, Wisconsin, United States",BrightStar Wisconsin Foundation is a non-profit organization focused on funding for-profit early-stage companies.,Government Office,,16,"32,372"
Emory Investment Management,https://www.crunchbase.com/organization/emory-investment-management,1,1,"Atlanta, Georgia, United States",Emory Investment Management is responsible for investment of assets on behalf of Emory University.,University Program,,,"32,350"
Zhejiang University,https://www.crunchbase.com/organization/zhejiang-university,7,1,"Hangzhou, Zhejiang, China","Zhejiang University is an educational institution that promotes national prosperity, social development, and human progress.",University Program,,2,"32,273"
King Abdullah University of Science and Technology,https://www.crunchbase.com/organization/king-abdullah-university-of-science-and-technology-2,,,"Thuwal, Ha'il, Saudi Arabia",King Abdullah University of Science and Technology is an international graduate-level research university.,University Program,,,"32,265"
Public Health Agency of Canada,https://www.crunchbase.com/organization/public-health-agency-of-canada,4,,"Edmonton, Alberta, Canada","To promote and protect the health of Canadians through leadership, partnership, innovation and action in public health.",Government Office,,4,"32,045"
Scottish Government,https://www.crunchbase.com/organization/scottish-government,10,,"Edinburgh, Edinburgh, City of, United Kingdom",The Scottish Government is the executive branch of the devolved government of Scotland. It is accountable to the Scottish Parliament.,"Government Office, Venture Capital",Grant,6,"31,961"
AmeriCorps Public Allies,https://www.crunchbase.com/organization/americorps,21,,"Washington, District of Columbia, United States","It is a federal agency, brings people together to tackle the country’s most pressing challenges, through national service and volunteering.",Government Office,,21,"31,883"
Government of Ireland,https://www.crunchbase.com/organization/government-of-ireland,3,,"Dublin, Dublin, Ireland",Government of Ireland is a central portal for government services and information.,Government Office,,3,"31,863"
Georgia Research Alliance,https://www.crunchbase.com/organization/georgia-research-alliance,156,6,"Atlanta, Georgia, United States","The Georgia Research Alliance (GRA) expands research and commercialization capacity in Georgia’s universities to launch new companies,",University Program,"Early Stage Venture, Grant",144,"31,825"
Northern Border Regional Commission,https://www.crunchbase.com/organization/northern-border-regional-commission,43,,"Concord, New Hampshire, United States",NBRC investment priorities to reach underserved communities and build a resilient region.,Government Office,Grant,43,"31,784"
National Institute of Neurological Disorders and Stroke,https://www.crunchbase.com/organization/national-institute-of-neurological-disorders-and-stroke,43,6,"Bethesda, Maryland, United States",National Institute of Neurological Disorders and Stroke is a Medical trial health authority.,Government Office,Grant,29,"31,630"
Barclays Bank Delaware,https://www.crunchbase.com/organization/barclays-delaware-holdings-llc,1,,"Wilmington, Delaware, United States","Barclays Bank Delaware is a different kind of credit card company, that offers simple tools that make it easy to plan.",Government Office,,1,"31,536"
Poland Prize Program,https://www.crunchbase.com/organization/poland-prize-program,10,,"Warsaw, Mazowieckie, Poland",Poland goverment program to support startups,"Accelerator, Government Office",,4,"31,517"
Royal Academy of Engineering,https://www.crunchbase.com/organization/royal-academy-of-engineering,10,1,"London, England, United Kingdom","Royal Academy of Engineering is the U.K.'s national academy of engineering, providing leadership and promoting all fields of engineering.",University Program,"Early Stage Venture, Grant, Non Equity Assistance, Seed",3,"31,421"
Shanghai Jiao Tong University,https://www.crunchbase.com/organization/shanghai-jiao-tong-university,2,,"Shanghai, Shanghai, China","Shanghai Jiao Tong University is a public research university located in Shanghai, China.",University Program,,,"31,280"
Aalto University,https://www.crunchbase.com/organization/aalto-university,1,,"Espoo, Southern Finland, Finland",Aalto University’s mission is to build a better a world and a stronger Finland.,University Program,,,"31,265"
Kansas Department of Commerce,https://www.crunchbase.com/organization/kansas-department-of-commerce,27,4,"Topeka, Kansas, United States","Kansas Department of Commerce is the state's economic development agency, enabling individuals, businesses, and communities to thrive.",Government Office,,27,"31,202"
Technical University of Berlin,https://www.crunchbase.com/organization/technical-university-of-berlin,1,1,"Berlin, Berlin, Germany",Technical University of Berlin is a research institute offering courses in the humanities & economics as well as technical subjects.,University Program,,,"31,183"
Aozora Bank Ltd.,https://www.crunchbase.com/organization/aozora-bank-ltd,9,2,"New York, New York, United States",Aozora Bank is a full-service commercial bank that provides advisory and financial services to corporate and retail clients.,Government Office,,3,"31,181"
Polsky Center at the University of Chicago,https://www.crunchbase.com/organization/the-university-of-chicago-innovation-fund,15,1,"Chicago, Illinois, United States",UChicagoTech launched the Innovation Fund in 2010 to accelerate the commercialization of promising.,"University Program, Venture Capital",,11,"31,175"
OneWest Bank,https://www.crunchbase.com/organization/onewest-bank-n-a,3,1,"Pasadena, California, United States","OneWest Bank is focused on delivering personalized, relationship-based banking to its customers",Government Office,,2,"31,144"
State of Utah,https://www.crunchbase.com/organization/state-of-utah,3,1,"Salt Lake City, Utah, United States",State of Utah provides links to government information sites and departments.,Government Office,,2,"31,107"
Comision Federal de Electricidad,https://www.crunchbase.com/organization/comisión-federal-de-electricidad,1,1,"Mexico City, Distrito Federal, Mexico",Federal Electricity Commission is a Mexican government company.,Government Office,,1,"31,051"
NCPDP,https://www.crunchbase.com/organization/ncpdp,6,,"Scottsdale, Arizona, United States","National Council for Prescription Drug Programs is an ANSI-accredited, standards development organization.",Government Office,,6,"30,640"
National Institute of Mental Health,https://www.crunchbase.com/organization/national-institute-of-mental-health,20,2,"Bethesda, Maryland, United States",National Institute of Mental Health (NIMH) is the lead federal agency for research on mental disorders,Government Office,,16,"30,558"
Swiss International Airlines,https://www.crunchbase.com/organization/swiss-international-airlines,,,"Zürich, Zurich, Switzerland","Swiss International Airlines is the national airline of Switzerland, serving over 102 destinations internationally.",Government Office,,,"30,409"
British Columbia Discovery Fund,https://www.crunchbase.com/organization/british-columbia-discovery-funding,11,7,"Vancouver, British Columbia, Canada","British Columbia Discovery Fund (VCC) Inc. (BC Discovery Fund, BCDF or the Fund) is a diversified venture capital investment fund which","Government Office, Venture Capital",Early Stage Venture,2,"30,344"
Mass.Gov,https://www.crunchbase.com/organization/commonwealth-of-massachusetts,1,,"Boston, Massachusetts, United States",Mass.Gov is a state in the New England region of the northeastern United States.,Government Office,,1,"30,232"
National Research Council of Canada Industrial Research Assistance Program,https://www.crunchbase.com/organization/national-research-council-of-canada-industrial-research-assistance-program,118,21,"Ottawa, Ontario, Canada","National Research Council of Canada Industrial Research Assistance Program offers guidance, connections, and funds.",Government Office,,56,"29,972"
Startup Odisha,https://www.crunchbase.com/organization/startup-odisha,3,,"Bhubaneshwar, Orissa, India",Startup Odisha is an initiative to create a conducive environment for Startups through innovation & create a world-class ecosystem.,Government Office,Grant,1,"29,906"
Wharton Angel Network,https://www.crunchbase.com/organization/wharton-angel-network,6,2,"New York, New York, United States","Founded in 2007, the Wharton Angel Network (WAN) seeks to provide a transparent forum for Wharton alumni entrepreneurs and Wharton alumni",University Program,,1,"29,870"
Governor’s Office of Business & Economic Development,https://www.crunchbase.com/organization/governor-newsom-s-office-of-business-economic-development,3,2,"Sacramento, California, United States","Governor Newsom’s Office of Business & Economic Development focuses on job growth, economic development, and business assistance efforts.",Government Office,,3,"29,842"
Great Southern Bank,https://www.crunchbase.com/organization/great-southern-bank-4178,1,,"Brisbane, Queensland, Australia",Australia's largest customer-owned bank.,Government Office,,,"29,831"
European Union Agency for the Space Programme,https://www.crunchbase.com/organization/european-union-agency-for-the-space-programme,9,1,"Prague, Hlavni mesto Praha, Czech Republic",Linking space to user needs.,Government Office,,6,"29,716"
Biotechnology and Biological Sciences Research Council,https://www.crunchbase.com/organization/biotechnology-and-biological-sciences-research-council-bbsrc,16,2,"Swindon, Wiltshire, United Kingdom","BBSRC invests in bioscience research and training focused on climate change, sustainable food production, land use and energy production.",Government Office,,10,"29,671"
BPI France,https://www.crunchbase.com/organization/bpi-france-f19a,7,,"Paris, Ile-de-France, France",Bpifrance is a public investment bank that supports French companies.,Government Office,,2,"29,565"
SunTrust Foundation,https://www.crunchbase.com/organization/suntrust-foundation,3,,"Atlanta, Georgia, United States","SunTrust Foundation is a non-profit organization helping guide, advise, and lead people along their road to financial security and wellness.",Government Office,,3,"29,505"
United States Senate,https://www.crunchbase.com/organization/u-s-senate,1,,"Washington, District of Columbia, United States",U.S. Senate is a legislative chamber in the bicameral legislature of the United States of America.,Government Office,,1,"29,495"
Oxford Seed Fund,https://www.crunchbase.com/organization/oxford-seed-fund,10,1,"Oxford, Oxfordshire, United Kingdom","The Oxford Seed Fund is a select international team of entrepreneurs, investors, and industry specialists.","Entrepreneurship Program, Micro VC, University Program",Seed,3,"29,434"
Pequot Capital,https://www.crunchbase.com/organization/pequot-capital,150,57,"Westport, Connecticut, United States","Pequot Capital Management, Inc. announced its closing in 2009. Pequot Capital Management, Inc. is a U.S. registered investment adviser","Government Office, Venture Capital","Debt, Early Stage Venture, Late Stage Venture",53,"29,379"
Washington state Department of Commerce,https://www.crunchbase.com/organization/washington-state-department-of-commerce,18,1,"Seattle, Washington, United States",Washington State is proud to showcase over 14 companies in our AppPlanet hall stand.,Government Office,,17,"29,351"
SCADpro Fund,https://www.crunchbase.com/organization/scadpro-fund,6,,"Savannah, Georgia, United States",SCADpro Fund seeks SCAD alumni entrepreneurs in the early stages of fundraising.,University Program,,,"29,317"
Defra,https://www.crunchbase.com/organization/defra,3,,"London, England, United Kingdom","Defra is the UK government department responsible for policy and regulations on environmental, food and rural issues.",Government Office,,3,"29,253"
Kyoto University Innovation Capital,https://www.crunchbase.com/organization/kyoto-university-innovation-capital,63,2,"Kyoto, Kyoto, Japan",Kyoto University Innovation Capital is an organization that researches the benefits of agriculture science.,University Program,,18,"29,104"
Directto,https://www.crunchbase.com/organization/directto,,,"Belém, Para, Brazil",Cloud b2b platform for bioeconomy,Government Office,Non Equity Assistance,,"29,018"
entrepreneurship@UBC,https://www.crunchbase.com/organization/entrepreneurship-ubc-seed-fund,108,6,"Vancouver, British Columbia, Canada",entrepreneurship@UBC is an initiative that propels UBC innovations out into the world through entrepreneurship and venture creation.,"Accelerator, Entrepreneurship Program, Incubator, University Program","Early Stage Venture, Grant, Seed",2,"28,952"
Indiana Deparment of Education,https://www.crunchbase.com/organization/indiana-deparment-of-education,2,,"Indianapolis, Indiana, United States","We are dedicated to providing the highest quality of support to Indiana’s schools, teachers, students and parents.",Government Office,,2,"28,945"
University of Tokyo Founders Association Fund,https://www.crunchbase.com/organization/university-of-tokyo-founders-association-fund,2,,"Tokyo, Tokyo, Japan",University of Tokyo Founders Association Fund is a venture capital fund.,University Program,,,"28,797"
Federal Government,https://www.crunchbase.com/organization/federal-government,16,5,"Washington, District of Columbia, United States","Federal Government is a public welfare council that empowers the nation's health, security, and wellness.",Government Office,Venture,10,"28,759"
Department for Promotion of Industry and Internal Trade (DPIIT),https://www.crunchbase.com/organization/department-for-promotion-of-industry-and-internal-trade-dpiit,27,2,"New Delhi, Delhi, India",DPIIT is a central government department under the Ministry of Commerce and Industry in India.,Government Office,,27,"28,750"
The Juilliard School,https://www.crunchbase.com/organization/the-juilliard-school,,,"London, England, United Kingdom","With a reputation for excellence, Juilliard is home to the finest.",University Program,Grant,,"28,687"
Islamic Development Bank,https://www.crunchbase.com/organization/islamic-development-bank,5,1,"Jeddah, Makkah, Saudi Arabia",Islamic Development Bank is a Development Bank.,"Government Office, Investment Bank",,1,"28,641"
SAMHSA,https://www.crunchbase.com/organization/samhsa,18,,"Rockville, Maryland, United States",SAMHSA leads public health efforts to advance the behavioral health of the nation.,Government Office,,17,"28,492"
Origgin Ventures,https://www.crunchbase.com/organization/origgin-ventures,2,,"Singapore, Central Region, Singapore",Origgin’s Venture Co-Creation (VCC™) process enables the growth of exciting businesses that are ready to embark on the journey of success.,"Incubator, Syndicate, University Program, Venture Capital","Early Stage Venture, Seed",2,"28,402"
Agence Française de Développement,https://www.crunchbase.com/organization/agence-française-de-développement,8,1,"Paris, Ile-de-France, France",AFD is France’s inclusive public development bank.,Government Office,,5,"28,306"
Global Cleantech Capital,https://www.crunchbase.com/organization/global-cleantech-capital,10,2,"Amsterdam, Noord-Holland, The Netherlands",Global Cleantech Capital is an Amsterdam-based growth capital fund focused on investments in clean energy and technology.,"Government Office, Private Equity Firm",Late Stage Venture,6,"28,274"
LMKR,https://www.crunchbase.com/organization/lmkr,2,,"Dubai, Dubai, United Arab Emirates","Founded in 1994, LMKR is a global provider of Geo-Technology and Information Technology services to businesses and governments.",Government Office,Early Stage Venture,1,"28,263"
Japan International Cooperation Agency,https://www.crunchbase.com/organization/japan-international-cooperation-agency,14,2,"Tokyo, Tokyo, Japan",Japan International Cooperation Agency provides technical cooperation and other forms of aid promoting economic and social development.,Government Office,,6,"28,259"
Yuhang state Investment,https://www.crunchbase.com/organization/yuhang-international-investment,5,,"Yuhang, Zhejiang, China",Yuhang International Investment is an investment firm.,Government Office,,3,"28,174"
Manitoba,https://www.crunchbase.com/organization/manitoba,6,1,"Winnipeg, Manitoba, Canada",The Manitoba government cannot commit to posting or replying to all comments received on its social media sites.,Government Office,,5,"28,011"
Polish Agency for Enterprise Development,https://www.crunchbase.com/organization/polish-agency-for-enterprise-development,26,,"Warszawa, Mazowieckie, Poland",Polish Agency for Enterprise Development is a company that specializes in enterprise development services.,Government Office,Grant,15,"27,998"
SALIC,https://www.crunchbase.com/organization/salic,7,3,"Riyadh, Ar Riyad, Saudi Arabia",SALIC is an investment firm specializing in agricultural investment and livestock production.,Government Office,,6,"27,950"
United States Coast Guard,https://www.crunchbase.com/organization/united-states-coast-guard,1,,"Washington, District of Columbia, United States",United States Coast Guard focuses on protecting the maritime interests of the United States of America.,Government Office,,1,"27,948"
Karlsruhe Institute of Technology,https://www.crunchbase.com/organization/karlsruhe-institute-of-technology,4,,"Karlsruhe, Baden-Wurttemberg, Germany","The Karlsruhe Institute of Technology is a German university that focuses on research, teaching, and innovation.",University Program,,1,"27,865"
Spring Singapore,https://www.crunchbase.com/organization/spring-singapore,19,4,"Singapore, Central Region, Singapore","Spring Singapore is a development agency that supports Singaporean enterprises with their financing, technology, and management.",Government Office,"Early Stage Venture, Grant, Seed",4,"27,850"
Ivey Business School,https://www.crunchbase.com/organization/ivey-business-school,1,,"London, Ontario, Canada","The Ivey Business School is a provider of degree programs and executive development with campuses in London, Toronto and Hong Kong.","Accelerator, University Program",,,"27,746"
Natural Resources Canada,https://www.crunchbase.com/organization/natural-resources-canada,37,3,"Ottawa, Ontario, Canada",Natural Resources Canada is a company of resources and information about the protection of natural land and water.,Government Office,,28,"27,681"
Tow-Knight,https://www.crunchbase.com/organization/tow-knight,,,"New York, New York, United States","Tow-Knight runs educational programs, conduct research and support journalism.",University Program,,,"27,447"
New York State Department of Health,https://www.crunchbase.com/organization/new-york-state-department-of-health,5,1,"Albany, New York, United States","To protect, improve and promote the health, productivity and well-being of all New Yorkers.",Government Office,,4,"27,444"
Imperial Create Lab,https://www.crunchbase.com/organization/imperial-create-lab,45,4,"London, England, United Kingdom","Imperial Create Lab brings together the innovators, makers and game-changers to hack, learn and build things that matter.","Incubator, University Program",,,"27,410"
Illinois Ventures,https://www.crunchbase.com/organization/illinois-ventures,57,9,"Chicago, Illinois, United States","Illinois Ventures is a seed and early-stage technology investment firm focused on research-derived companies in information technologies,","Government Office, Venture Capital","Early Stage Venture, Late Stage Venture, Seed",4,"27,395"
Social Security Administration,https://www.crunchbase.com/organization/social-security-administration,1,,"Baltimore, Maryland, United States",Social Security Administration enable individuals to find social security services the government offers.,Government Office,,1,"27,207"
NZ Super Fund,https://www.crunchbase.com/organization/nz-super-fund,9,3,"Auckland, Auckland, New Zealand",NZ Super Fund is an investment fund invests Government contributions.,Government Office,,4,"27,163"
Government of India,https://www.crunchbase.com/organization/government-of-india,8,,"New Delhi, Delhi, India",India.gov.in is the Indian government’s web portal for citizens. It presents information resources.,Government Office,,1,"27,096"
Petco Love,https://www.crunchbase.com/organization/petco-love,4,,"San Antonio, Texas, United States","Petco Love is a nonprofit changing lives by making communities and pet families closer, stronger, and healthier.",Government Office,,3,"26,877"
Startup TN,https://www.crunchbase.com/organization/startup-tn,1,,"Guindy, Tamil Nadu, India",Startup TN is a government institution that fosters a benign entrepreneurial ecosystem in the state.,Government Office,,1,"26,774"
Florida Department of State,https://www.crunchbase.com/organization/florida-department-of-state,2,,"Tallahassee, Florida, United States","Florida Department of State maintains the state's public records and serves preservationists, librarians, corporate officers and voters.",Government Office,,1,"26,723"
Yozma Group,https://www.crunchbase.com/organization/yozma-group,27,8,"Tel Aviv, Tel Aviv, Israel",The Yozma Group is a venture capital firm specializing in investments in all stages of development of a company.,"Government Office, Venture Capital","Early Stage Venture, Late Stage Venture",9,"26,429"
The University of Tokyo,https://www.crunchbase.com/organization/the-university-of-tokyo,,,"Tokyo, Tokyo, Japan",The University of Tokyo is a research institution for humanities and the social and natural sciences.,University Program,,,"26,427"
German Federal Ministry of Education and Research,https://www.crunchbase.com/organization/german-federal-ministry-of-education-and-research-bmbf,43,10,"Bonn, Nordrhein-Westfalen, Germany","German Federal Ministry of Education and Research funds research programs, supervises nuclear energy, and sets educational policies.",Government Office,,25,"26,392"
Mission Daybreak,https://www.crunchbase.com/organization/mission-daybreak,28,3,,Mission Daybreak is a $20 million grand challenge to reduce Veteran suicides.,Government Office,,28,"26,385"
National Institute of Allergy and Infectious Diseases,https://www.crunchbase.com/organization/national-institute-of-allergy-and-infectious-diseases,93,10,"Bethesda, Maryland, United States",National Institute of Allergy and Infectious is a medical research agency that supports basic and applied research for allergic diseases.,Government Office,Venture,80,"26,138"
Purdue Foundry,https://www.crunchbase.com/organization/purdue-foundry,34,,"West Lafayette, Indiana, United States",The Foundry is focused on Purdue's entrepreneurial resources that are aimed at launching new ventures.,University Program,,19,"25,830"
Australian Government,https://www.crunchbase.com/organization/australian-government,25,6,"Canberra, Australian Capital Territory, Australia",Australian Government website is primarily for the public and is your trusted source of government information.,Government Office,,16,"25,754"
Government Of Quebec,https://www.crunchbase.com/organization/government-of-quebec,46,6,"Quebec, Quebec, Canada",Government Of Quebec is a non profit organisation.,Government Office,Early Stage Venture,21,"25,609"
Ordnance Survey,https://www.crunchbase.com/organization/ordnance-survey,1,,"Southampton, Southampton, United Kingdom",Ordnance Survey is the national mapping agency for Great Britain providing the definitive spatial database.,Government Office,,,"25,574"
Federal Railroad Administration,https://www.crunchbase.com/organization/federal-railroad-administration,50,,"Washington, District of Columbia, United States","Federal Railroad Administration enable the safe, reliable, and efficient movement of people and goods.",Government Office,Grant,50,"25,421"
U.S. Department of Housing and Urban Development,https://www.crunchbase.com/organization/u-s-department-of-housing-and-urban-development-office-of-counsel,19,,"Washington, District of Columbia, United States","HUD’s mission is to create strong, sustainable, inclusive communities and quality affordable homes for all.",Government Office,,19,"25,344"
Biopôle,https://www.crunchbase.com/organization/biopôle,7,,"Epalinges, Vaud, Switzerland",Biopôle is a clinical work and research firm.,University Program,,6,"25,323"
National Oceanic and Atmospheric Administration,https://www.crunchbase.com/organization/national-oceanic-and-atmospheric-administration,18,1,"Washington, District of Columbia, United States",The National Oceanic and Atmospheric Administration is a federal agency focused on the condition of the oceans and the atmosphere.,Government Office,,14,"25,285"
Seoul National University,https://www.crunchbase.com/organization/seoul-national-university,7,,"Seoul, Seoul-t'ukpyolsi, South Korea",Seoul National University honors the ideals of liberal education.,University Program,,2,"25,275"
KTH Royal Institute of Technology,https://www.crunchbase.com/organization/royal-institute-of-technology,1,,"Stockholm, Stockholms Lan, Sweden",KTH Royal Institute of Technology in Stockholm is the largest and oldest technical university in Sweden.,University Program,,1,"25,047"
Agentschap Innoveren & Ondernemen,https://www.crunchbase.com/organization/agentschap-innoveren-ondernemen,52,5,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium","Agentschap Innoveren & Ondernemen is a government agency, charged with implementing the economic, innovation and enterprise policy.",Government Office,Grant,38,"25,039"
China Integrated Circuit Industry Investment Fund (CICF),https://www.crunchbase.com/organization/china-integrated-circuit-industry-investment-fund-cicf,17,6,"Beijing, Beijing, China",China Integrated Circuit Industry Investment Fund (CICF) is a a State-owned investment fund.,"Government Office, Venture Capital","Early Stage Venture, Late Stage Venture",6,"25,001"
Wisconsin Alumni Research Foundation,https://www.crunchbase.com/organization/wisconsin-alumni-research-foundation,36,6,"Madison, Wisconsin, United States","WARF is the private, nonprofit patent and licensing organization for the University of Wisconsin–Madison.",University Program,Early Stage Venture,5,"24,968"
Agriculture and Agri-Food Canada,https://www.crunchbase.com/organization/agriculture-and-agri-food-canada,11,4,"Ottawa, Ontario, Canada",Agriculture and Agri-Food Canada is a government office that focuses on the agriculture and the agri-food sector.,Government Office,,6,"24,940"
Qatar Investment Authority,https://www.crunchbase.com/organization/qatar-investment-authority,87,27,"Doha, Ad Dawhah, Qatar",Qatar Investment Authority is a sovereign wealth fund that protects and grows financial assets and diversifies the economy. ​,"Government Office, Private Equity Firm","Late Stage Venture, Private Equity",41,"24,892"
KU Leuven,https://www.crunchbase.com/organization/university-of-leuven,12,2,"Leuven, Vlaams-Brabant, Belgium","Founded in 1425, the multidisciplinary and research-driven University of Leuven has been a centre of learning for almost six centuries.",University Program,Seed,2,"24,805"
