Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
"Trexler, Watson, Thompson & Dunn",https://www.crunchbase.com/organization/trexler-watson-thompson-dunn,"Accounting, Financial Services, Professional Services","Salisbury, North Carolina, United States","Trexler, Watson, Thompson & Dunn is a financial services firm dedicated to helping you get the most out of your investment.","3,200,381","East Coast, Southern US",Active,1979-01-01,year,,,,,For Profit,https://www.trexlerwatson.com,,"Financial Services, Other, Professional Services",,51-100,,,,,,,,,,,
One Degree Connected,https://www.crunchbase.com/organization/one-degree-connected,B2B,"Noblesville, Indiana, United States",One Degree Connected is a planning website showing how people can network with one another.,"3,200,388","Great Lakes, Midwestern US",Closed,2007-01-01,year,,,,none,For Profit,http://onedegreeconnected.com,"One Degree Connected is a new tool that helps leverage your business contacts. In your business, personal referrals can quickly grow your sales leads. But what's the best way to translate on-line connections, into real-world referrals? Now, you can create real-life connections, by referral only, with One Degree Connected. One Degree Connected is safe and permission-based. Members can search for people by name, company, title, and location. If a member is connected to the searched-for person, the searching member can request a connection (or personal referral) from the other member. And remember, the people in your contact database are never exposed. ______ I have found One Degree Connected's tool to stand out in personal direct referrals.  Rather than a just connected in other social networks, this requires a personal introduction and thought into how the referral will happen.",Other,,11-50,,,,,,,,,,,
One Planet Adventures,https://www.crunchbase.com/organization/one-planet-adventures,"Adventure Travel, Outdoors, Training","Saint Cloud, Minnesota, United States",One Planet Adventures is an outdoor adventure training provider company.,"3,200,389","Great Lakes, Midwestern US",Active,,,,,,,For Profit,http://www.oneplanetadventures.com,,"Education, Sports, Travel and Tourism",,1-10,,,,,,,,,,,
Deegan Management,https://www.crunchbase.com/organization/deegan-management,"Property Management, Real Estate, Rental Property, Residential","Euclid, Ohio, United States",Deegan Management is a property management company.,"3,200,391","Great Lakes, Midwestern US",Active,1994-01-01,year,,,,,For Profit,https://www.deeganmanagement.com,"Deegan Management provides rental management services. They develop residential apartments for customers. They provides tenant screening, routine maintenance, emergency maintenance, rent collection, tenant disputes, and accounting.",Real Estate,,1-10,,,,,,,,,,,
Constructioneer,https://www.crunchbase.com/organization/constructioneer,Construction,"Pembroke Pines, Florida, United States","Constructioneer specializes in engineering consulting, construction management, construction engineering inspection, management consulting.","3,200,393","Greater Miami Area, East Coast, Southern US",Active,1990-01-01,year,,,,,For Profit,https://www.constructioneer.com,,Real Estate,,,,,,,,,,,,,
Nanozyme Technologies,https://www.crunchbase.com/organization/nanozyme-technologies,"Oil and Gas, Transportation","New City, New York, United States",Nanozyme Technologies is business registered with Connecticut Secretary of the State (SOS).,"3,200,397","Greater New York Area, East Coast, Northeastern US",Active,2022-01-21,day,,,,,For Profit,,,"Energy, Natural Resources, Transportation",,,,,,,,,,,,,
Betty W Kelly,https://www.crunchbase.com/organization/betty-w-kelly,"Accounting, Finance, Financial Services","Deland, Florida, United States","Betty W Kelly provides accounting taxation, payroll, quickbooks, litigation support, succession planning and cash flow management services.","3,200,400","East Coast, Southern US",Active,,,,,,,For Profit,http://www.bettywkellycpa.com/,,"Financial Services, Professional Services",,,,,,,,,,,,,
Simply Pasta & More,https://www.crunchbase.com/organization/simply-pasta-more,Hospitality,"North Fort Myers, Florida, United States","Simply Pasta & More is a carryout restaurant that provides hot and cold subs, pastas, and salads to its users.","3,200,407","East Coast, Southern US",Active,2013-09-10,day,,,,,For Profit,,"A carry out restaurant that sells /// hot and cold subs,pasta's and salads. Small business just opening and I'm looking for some help $$$ to create a few jobs ??? the business is doing ok for only being open about 6 weeks.I would like to possible start a chain of my shop in the future.",Travel and Tourism,,1-10,1,,,USD,,,USD,,,,
Southwestern Eye Care,https://www.crunchbase.com/organization/southwestern-eye-care,"Health Care, Hospital, Medical","Brighton, Illinois, United States","Southwestern Eye Care offers state-of-the-art medical testing, treatment, and management of eye diseases.","3,200,407","Great Lakes, Midwestern US",Active,2002-01-01,year,,,,,For Profit,https://www.sweyecare.com,"Southwestern Eye Care offers a full-service onsite optical lab offering a wide range of frame options in contact lenses, glasses, and dry eye care. They offer laser vision consultations, comprehensive adult, senior, and pediatric eye care, specialty contact lens fittings, scleral lenses, vision therapy, cognitive vision therapy, and amniotic membrane transplants.",Health Care,1,1-10,,,,,,,,,,,
BadAssCovers,https://www.crunchbase.com/organization/badasscovers,"Product Design, Supply Chain Management","Pompano Beach, Florida, United States",BadAssCovers is a designer and supplier of air cleaner and horn cover.,"3,200,413","Greater Miami Area, East Coast, Southern US",Active,2006-01-01,day,,,,,For Profit,http://www.badasscovers.com/,,"Design, Transportation",,51-100,,,,,,,,,,,
Fairmax Law,https://www.crunchbase.com/organization/fairmax-law,"Law Enforcement, Legal, Professional Services","Dearborn, Michigan, United States","Fairmax Law specializes in student loans, bankruptcy, debt relief, and credit reporting issues services.","3,200,421","Greater Detroit Area, Great Lakes, Midwestern US",Active,,,,,,,For Profit,https://fairmaxlaw.com ,,"Government and Military, Other, Privacy and Security, Professional Services",,,,,,,,,,,,,
CyBot,https://www.crunchbase.com/organization/cybot-638d,Information Technology,"Austin, Texas, United States",Cybersecurity startup focused on eliminating passwords with server-less backend,"3,200,423",Southern US,Active,2019-01-01,year,,,,,For Profit,,,Information Technology,,1-10,,,,,,,,,,,
Evotechpro,https://www.crunchbase.com/organization/evotechpro,"Cloud Data Services, Consulting, Information Technology","Omaha, Nebraska, United States","Evotechpro provides on-site audits, virtualization, cloud, email & spam protection, and hardware purchasing services.","3,200,424",Midwestern US,Closed,,,,,,none,For Profit,https://www.evotechpro.com,,"Information Technology, Internet Services, Professional Services",,51-100,,,,,,,,,,,
WikiMVP,https://www.crunchbase.com/organization/wikimvp,Non Profit,"San Francisco, California, United States","WikiMVP, the wiki for startup experiments, offers content on idea conception, research, running campaigns, doing A/B tests, and more.","3,200,429","San Francisco Bay Area, West Coast, Western US",Closed,,,,,,none,Non-profit,http://wikimvp.org/,"WikiMVP is the wiki for startup experiments that offers content on idea conceptions, researches, running Adwords campaigns, doing A/B tests, and more. It is a nonprofit open-source project. All content contributed to WikiMVP is licensed under the Creative Commons Attribution 4.0 International License. WikiMVP is operated from San Francisco, California.","Other, Social Impact",,,,,,,,,,,,,
NUVODIGITAL,https://www.crunchbase.com/organization/nuvodigital,"SEO, Web Development, Web Hosting","Salt Lake City, Utah, United States","NUVODIGITAL provides web hosting, website design and website development services.","3,200,433",Western US,Active,2012-11-01,day,,,,,For Profit,http://www.nuvodigital.com,,"Internet Services, Sales and Marketing, Software",,1-10,,,,,,,,,,,
Brainstorm Giraffe,https://www.crunchbase.com/organization/brainstorm-giraffe,Management Consulting,"Carlsbad, California, United States",Customer Experience Management Agency,"3,200,443","Greater San Diego Area, West Coast, Western US",Closed,2018-07-04,day,,,,none,For Profit,https://brainstormgiraffe.com,A great customer experience isn’t a luxury; it’s critical to your bottom line.  Ask us how Brainstorm Giraffe can work with you to make your customer’s experience match your brand’s promise.,Professional Services,1,1-10,,,,,,,,,,,
Bridgeway Career Development,https://www.crunchbase.com/organization/bridgeway-career-development,Training,"Bellevue, Washington, United States","Bridgeway Career Development is a coaching / consulting services firm that helps clients choose, change, and advance their careers.","3,200,445","Greater Seattle Area, West Coast, Western US",Active,1999-01-01,year,,,,,For Profit,https://bridgewaycareer.com,,Education,1,51-100,,,,,,,,,,,
Restoration Chiropractic,https://www.crunchbase.com/organization/restoration-chiropractic,"Fitness, Health Care, Nutrition","Andrews, Texas, United States","Restoration Chiropractic offers DOT physicals, weight loss, nutrition, traction therapy, plantar fasciitis, and sports injury treatments.","3,200,450",Southern US,Active,,,,,,,For Profit,https://rchiroandrews.com,,"Food and Beverage, Health Care, Sports",,,,,,,,,,,,,
Allstar Web Tech,https://www.crunchbase.com/organization/allstar-web-tech,"Creative Agency, Web Design, Web Hosting","Houston, Texas, United States",Allstar Web Tech is a creative agency firm.,"3,200,450","Greater Houston Area, Southern US",Active,,,,,,,For Profit,https://allstarweb.tech,"Allstar Web Tech offers custom web design, logo design, digital web hosting, and online marketing services. Through their web design tools, clients launch their own private or professional websites on the internet. They provide their clients with modern designs using the WordPress platform. Using Windows PCs, Google Chrome, and Firefox web browsers, they develop, and code.","Content and Publishing, Design, Internet Services, Media and Entertainment",,,,,,,,,,,,,
Nostalgia Bingo,https://www.crunchbase.com/organization/nostalgia-bingo,"Events, Gaming, Social","Eugene, Oregon, United States","NOSTALGIA BINGO is making online bingo interactive, attracting players to invite their friends and family to play this game with them.","3,200,455","West Coast, Western US",Active,2014-08-07,day,,,,,For Profit,,"NOSTALGIA BINGO is making online bingo interactive, attracting players to invite their friends and family to play this game with them, as it used to be in the Bingo Halls The problem with online bingo remains the same, as there is limited  interaction and bingo has always been a social event for players.  The Market is vast and has more than 3.5 million active unique players (active accounts) in the UK alone. The market drivers are prizes and what promotions each individual site can offer.  The technology is new and innovative which will enable NOSTALGIA to bring on board and keep its client base.  Our vehicle for carrying the technology is structured and tailored for the sole purpose of allowing players to interact with each other as they would in a real live bingo hall.","Community and Lifestyle, Events, Gaming, Media and Entertainment",,1-10,1,,,USD,,,USD,,,,
Travel Angel,https://www.crunchbase.com/organization/travel-angel,Travel,"San Francisco, California, United States",Travel Angel,"3,200,456","San Francisco Bay Area, West Coast, Western US",Closed,,,,,,none,For Profit,http://www.trvangel.com,,Travel and Tourism,1,1-10,,,,,,,,,,,
IdiotsTrafficSchool,https://www.crunchbase.com/organization/idiotstrafficschool,Auto Insurance,"West Hollywood, California, United States",IdiotsTrafficSchool is an online course users can work at their own pace. The site iscourt approved. Most states permit drivers to have a,"3,200,457","Greater Los Angeles Area, West Coast, Western US",Active,2006-09-01,day,,,,,For Profit,http://www.IdiotsTrafficSchool.com,"IdiotsTrafficSchool is an online course users can work at their own pace. The site iscourt approved. Most states permit drivers to have a citation dismissed after completing a traffic school course. In most cases, traffic school can also remove points from a driving record. Taking a traffic school course can also earn users a discount on car insurance.",Financial Services,,1-10,,,,,,,,,,,
Spectrum Adger,https://www.crunchbase.com/organization/spectrum-adger,,"Adger, Alabama, United States","Spectrum is the best option for those who are looking for an internet provider in Adger, AL.","3,200,462",Southern US,Active,2013-01-01,year,,,,,For Profit,,"Spectrum is the best option for those who are looking for an internet provider in Adger, AL. Since then they have stretched out themselves as a high-speed Internet Cable Company.",,,1-10,,,,,,,,,,,
Cupertino Podiatry Inc,https://www.crunchbase.com/organization/cupertino-podiatry-inc,Health Care,"Cupertino, California, United States","Cupertino Podiatry has highly qualified and experienced podiatrists, physical therapists and healthcare professionals.","3,200,463","San Francisco Bay Area, Silicon Valley, West Coast",Active,2003-01-01,year,,,,,For Profit,http://www.cupertinopodiatrist.com,"Dr. Mike Cornelison who has a podiatric clinic in Cupertino called Cupertino Podiatry. As a podiatric practice, our physicians received conventional medical training plus special training on the foot, ankle, and lower leg.",Health Care,,1-10,,,,,,,,,,,
Manning Advisors,https://www.crunchbase.com/organization/manning-advisors,"Advice, Finance, Manufacturing","Boca Raton, Florida, United States","Manning Advisors renders services in strategic advisory, mergers & acquisitions to the precision manufacturing & specialty material markets.","3,200,467","Greater Miami Area, East Coast, Southern US",Active,1998-01-01,year,,,,,For Profit,https://manningadvisors.com/,,"Financial Services, Manufacturing, Media and Entertainment",,1-10,,,,,,,,,,,
Universal American - Traditional Insurance Business,https://www.crunchbase.com/organization/universal-american-traditional-insurance-business,Insurance,"White Plains, New York, United States",The Traditional Insurance business consists of a closed block of insurance products.,"3,200,468","Greater New York Area, East Coast, Northeastern US",Active,1992-01-01,year,2015-10-08,day,,,For Profit,,"The Traditional Insurance business consists of a closed block of insurance products, including Medicare supplement, other senior health insurance, specialty health insurance and life insurance, including a non-strategic closed block of long-term care insurance policies.",Financial Services,,,,M&A,,,,,,,,,
Next2Shine,https://www.crunchbase.com/organization/next2shine,Music,"New York, New York, United States",discovering music before they're discovered,"3,200,471","Greater New York Area, East Coast, Northeastern US",Active,2006-01-01,year,,,,,For Profit,http://Next2Shine.com,,"Media and Entertainment, Music and Audio",1,11-50,,,,,,,,,,,
Ship It Bag Check,https://www.crunchbase.com/organization/ship-it-bag-check,"Consumer, Delivery, Shipping","Trenton, New Jersey, United States",Ship it bag check is a company that would provide bag/coat checking.,"3,200,473","East Coast, Northeastern US",Active,2012-01-01,year,,,,,For Profit,,,"Administrative Services, Other, Transportation",,,1,,,USD,,,USD,,,,
All In PCS,https://www.crunchbase.com/organization/all-in-pcs,"Elder Care, Health Care, Home Health Care, Nursing and Residential Care, Professional Services","Atlanta, Georgia, United States","All In PCS offers residential non-medical, dementia, post-surgery and injury care, and assisted living services to people of all ages.","3,200,474","Greater Atlanta Area, East Coast, Southern US",Active,2018-01-01,year,,,,,For Profit,https://allinpcs.com/,,"Health Care, Other",,,,,,,,,,,,,
Einzel Group,https://www.crunchbase.com/organization/einzel-group,"Asset Management, Financial Services, Professional Services","Tampa, Florida, United States","Einzel Group offers tax planning, structuring, asset protection, and business management services.","3,200,488","Tampa Bay Area, East Coast, Southern US",Active,2009-01-01,year,,,,,For Profit,http://einzel.us/,,"Financial Services, Other",,11-50,,,,,,,,,,,
Passione Divina,https://www.crunchbase.com/organization/passione-divina,"Food and Beverage, Manufacturing, Wine And Spirits, Winery","Bradenton, Florida, United States","Passione Divina is a beverage manufacturing company that offers a wide range of wines, extra virgin olive oil, vinegar, soaps, and lotions.","3,200,492","East Coast, Southern US",Active,2015-01-01,year,,,,,For Profit,https://www.passionedivina.com,,"Food and Beverage, Manufacturing",,1-10,,,,,,,,,,,
Carroll Realty and Management,https://www.crunchbase.com/organization/carroll-realty-and-management,"Property Management, Real Estate, Sales","San Diego, California, United States","Carroll Realty and Management provides sales, leasing, tenant procurement, renovations, remodeling, and property management services.","3,200,494","Greater San Diego Area, West Coast, Western US",Active,,,,,,,For Profit,https://carrollrealtymgmt.com,,"Real Estate, Sales and Marketing",,1-10,,,,,,,,,,,
ReactrMedia,https://www.crunchbase.com/organization/littlealien-media,News,"Dallas, Texas, United States",ReactrMedia is a DFW-based digital strategy firm that builds online brands.,"3,200,495","Dallas/Fort Worth Metroplex, Southern US",Active,2011-03-01,day,,,,,For Profit,http://ReactrMedia.com,,"Content and Publishing, Media and Entertainment",1,1-10,,,,,,,,,,,
AZTEK Padel,https://www.crunchbase.com/organization/aztek-padel,"Sporting Goods, Sports","San Diego, California, United States","AZTEK Padel offers a variety of paddle tennis rackets, paleteros, textiles and accessories inspired by indigenous Mexican culture.","3,200,496","Greater San Diego Area, West Coast, Western US",Active,,,,,,,For Profit,https://www.aztekpadel.com/,"AZTEK Padel offers a variety of paddle tennis rackets, paleteros, textiles, and accessories inspired by indigenous Mexican culture. AZTEK Padel is a project that was born from the illusion and interest to introduce new products to the immense world of paddle tennis. Products that intrigue and inspire, a brand our customers can trust.","Commerce and Shopping, Sports",,,,,,,,,,,,,
Rejuvenate Your Skin,https://www.crunchbase.com/organization/rejuvenate-your-skin,"Fitness, Health Care, Hospital, Wellness","Coral Springs, Florida, United States","Rejuvenate Your Skin is an e-commerce company that provides body care, skin care, and weight loss program services.","3,200,498","Greater Miami Area, East Coast, Southern US",Active,,,,,,,For Profit,https://www.rejuvenateinc.com,,"Health Care, Sports",,,,,,,,,,,,,
CuPcAkE & other things you bake,https://www.crunchbase.com/organization/cupcake-other-things-you-bake,Hospitality,"Booneville, Mississippi, United States","CuPcAkE & other things you bake offers high quality cupcakes, custom cakes, pastries, homemade breads as well as a breakfast, lunch.","3,200,499",Southern US,Active,2011-05-25,day,,,,,For Profit,,"CuPcAkE & other things you bake offers high quality cupcakes, custom cakes, pastries, homemade breads as well as a breakfast, lunch and dinner menu at a competitive price to meet the demand of the middle- to lower-income local market area residents and students. Our truly impeccable customer service and attention to detail will set up apart from the large chain grocery store bakeries by providing an environment as entertaining as the food.",Travel and Tourism,,,1,,,USD,,,USD,,,,
SameSky Tickets,https://www.crunchbase.com/organization/samesky-tickets,"Events, Music Venues, Non Profit, SaaS, Social Media, Ticketing","Missoula, Montana, United States",social ticketing box office,"3,200,500",Western US,Closed,,,,,,none,,http://www.sameskytickets.com,"SameSky Tickets provides complete event ticketing and venue management solutions with integrated patron/donor management, Local Box Office, Online Ticketing and Donation systems. SameSky Tickets is building social networking and mobile applications initially targeting the Online Ticketing and Box Office industry. Developing new technology, new Social Networking ticketing capabilities, and modern scalable applications, SameSky Tickets will offer the next generation of Online Ticketing and Box Office solutions.","Events, Internet Services, Media and Entertainment, Other, Social Impact, Software",1,1-10,,,,,,,,,,,
Tapiz Media Group,https://www.crunchbase.com/organization/tapiz-media-group,"Marketing, Public Relations, Translation Service","Los Angeles, California, United States","Tapiz Media Group is a media, marketing, public relations, talent management, social media, and translation company.","3,200,508","Greater Los Angeles Area, West Coast, Western US",Active,,,,,,,For Profit,https://tapizmedia.com,"Tapiz Media Group is dedicated to offering their clients service and commitment to both personalized care and effective, experienced staff. If you want any information please contact them via phone call or email.","Professional Services, Sales and Marketing",,11-50,,,,,,,,,,,
Sparxoo Studios,https://www.crunchbase.com/organization/sparxoo-studios,"Animation, Video","Tampa, Florida, United States",Sparxoo Studios is a fully integrated video production firm taking brand stories and marketing campaigns to the next level.,"3,200,513","Tampa Bay Area, East Coast, Southern US",Active,,,,,,,For Profit,https://sparxoostudios.com/,Sparxoo Studios is a fully integrated video production firm taking brand stories and marketing campaigns to the next level.,"Media and Entertainment, Video",,,,,,,,,,,,,
Premier Sports Promotions,https://www.crunchbase.com/organization/premier-sports-promotions,"Advertising, Consulting, Product Design","Fort Worth, Texas, United States",Premier Sports Promotions is an advertising services agency that provides sports posters and promotional products.,"3,200,517","Dallas/Fort Worth Metroplex, Southern US",Active,2010-01-01,month,,,,,For Profit,http://www.premiersportspromotions.com/,,"Advertising, Design, Professional Services, Sales and Marketing",,11-50,,,,,,,,,,,
HEY MARY,https://www.crunchbase.com/organization/hey-mary,"Cannabis, Information Technology","New York, New York, United States","HEY MARY is a patent-pending, intelligent, at-home cannabis dispensing platform.","3,200,520","Greater New York Area, East Coast, Northeastern US",Closed,2017-01-01,day,,,,none,For Profit,https://www.heymary.co/,,"Community and Lifestyle, Food and Beverage, Health Care, Information Technology",,1-10,,,,,,,,,,,
Oyler Chiropractic,https://www.crunchbase.com/organization/oyler-chiropractic,"Health Care, Rehabilitation, Therapeutics, Wellness","Reynoldsburg, Ohio, United States",Oyler Chiropractic offers rehabilitation therapy services.,"3,200,521","Great Lakes, Midwestern US",Active,1983-01-01,year,,,,,For Profit,https://www.oylerchiropractic.com,"Oyler Chiropractic provides chiropractic care services. The company specializes in the gonstead technique, a specific technique using hands and not instruments for treating the spine. Their services include cervical decompression, lumbar decompression, and electrical muscle stimulation.",Health Care,,,,,,,,,,,,,
Turnkey Services of New York LLC,https://www.crunchbase.com/organization/turnkey-services-of-new-york-llc,"Health Diagnostics, Medical","Bronx, New York, United States",Turnkey Services is a provider of MRI services.,"3,200,522","Greater New York Area, East Coast, Northeastern US",Active,,,2016-07-12,day,,,For Profit,,"Turnkey Services of New York, LLC, by way of several operating leases, had provided HMCA-managed MRI facilities in Bronx, NY, and Brooklyn, NY, with ancillary diagnostic imaging equipment.",Health Care,,,,M&A,,,,,,,,,
Integracer Consulting,https://www.crunchbase.com/organization/integracer-consulting,"Consulting, CRM, Financial Services, Information Technology","Boston, Massachusetts, United States","Integracer Consulting is a decade old consulting firm providing technology companies business development, market analysis, and financing.","3,200,524","Greater Boston Area, East Coast, New England",Active,2012-01-01,year,,,,,For Profit,http://www.integracer.com,,"Financial Services, Information Technology, Professional Services, Sales and Marketing, Software",1,1-10,,,,,,,,,,,
PDR's Catering,https://www.crunchbase.com/organization/pdr-s-catering,Catering,"Horseheads, New York, United States","Catering in Horseheads, NY","3,200,525","East Coast, Northeastern US",Closed,,,,,,none,For Profit,http://pdrscateringny.com,"Address: 107 Old Ithaca Rd, Horseheads, NY 14845, USA",Food and Beverage,,,,,,,,,,,,,
Bella + Sophia Clothing,https://www.crunchbase.com/organization/bella-sophia-clothing,"Fashion, Lifestyle, Retail","Chicago, Illinois, United States",A modern line of childrenswear dedicated to giving back to the community.,"3,200,531","Greater Chicago Area, Great Lakes, Midwestern US",Closed,,,,,,none,For Profit,http://www.bellasophiaclothing.com/,"Bella + Sophia is a modern line of childrenswear dedicated to high quality, innovative and comfort design. The brand is based out of Chicago and focuses on sustainable and local sourcing as well as making a difference in the community.","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design",1,1-10,,,,,,,,,,,
Radar Sports,https://www.crunchbase.com/organization/radar-sports,"Health Care, iOS, Sports","Bellevue, Washington, United States",Radar Sports LLC is a mobile app develper company which has developed apps like Swim Radar.,"3,200,540","Greater Seattle Area, West Coast, Western US",Active,,,,,,,For Profit,http://radarsports.net,Radar Sports LLC is a mobile app develper company which has developed apps like Swim Radar. This app is compatible with iPhon,"Health Care, Mobile, Platforms, Software, Sports",,1-10,,,,,,,,,,,
ERP Federal,https://www.crunchbase.com/organization/erp-federal,"Consulting, Hardware, Information Technology, Software","Memphis, Tennessee, United States",ERP Federal is an information technology experience related to SAP enterprise resource programs & network design.,"3,200,541",Southern US,Active,,,,,,,For Profit,https://www.erpfederal.com,,"Hardware, Information Technology, Professional Services, Software",,1-10,,,,,,,,,,,
Silva and Sons Insurance Services,https://www.crunchbase.com/organization/silva-and-sons-insurance-services,"Auto Insurance, Employee Benefits, Insurance, Risk Management","Liberty Hill, Texas, United States","Silva and Sons Insurance Services provides business, personal, and risk management services.","3,200,549",Southern US,Active,,,,,,,For Profit,http://www.silva-ins.com,"Silva and Sons Insurance Services offers home, auto, personal umbrella, flood, boat, dog liability, home warranty programs​, auto, bonds, landlord packages, builders risk, contractors, general liability packages, professional liability, automobile liability, and contractors pollution liability insurance services.","Administrative Services, Financial Services, Health Care, Professional Services",,1-10,,,,,,,,,,,
Grandinetti & Barton,https://www.crunchbase.com/organization/grandinetti-barton,"Accounting, Advice, Consulting, Financial Services","Spokane, Washington, United States","Grandinetti & Barton is an accounting firm that provides assurance, advice, payroll, QuickBooks, financial, estate & tax planning services.","3,200,554","West Coast, Western US",Active,,,,,,,For Profit,https://www.grandinettibarton.com/,,"Financial Services, Media and Entertainment, Professional Services",,1-10,,,,,,,,,,,
The Huxley,https://www.crunchbase.com/organization/the-huxley,Hospitality,"Washington, District of Columbia, United States","The Huxley is a party venue, nightclub, and lounge that provides televised sports, live bands, comedy shows, and trivia events.","3,200,561","Washington DC Metro Area, Southern US",Closed,2012-11-16,day,,,,none,For Profit,http://www.huxleydc.com,"The Huxley is a high-profile Washington DC party venue, nightclub, and lounge located south of Dupont Circle. This lavish event space has a reputation for being the top hotspot on the District social scene, regularly hosting the most powerful names in the nation's capitol along with a list of celebrities who travel through town.",Travel and Tourism,,51-100,,,,,,,,,,,
Tektree Consulting,https://www.crunchbase.com/organization/tektree-consulting,"Consulting, Recruiting, Staffing Agency","Sterling, Virginia, United States",Tektree Consulting is an IT services provider that offers staffing and offshore services.,"3,200,562","Washington DC Metro Area, East Coast, Southern US",Active,2005-01-01,year,,,,,For Profit,https://www.tektreeconsulting.com,,"Administrative Services, Professional Services",,,,,,,,,,,,,
Swan Lane,https://www.crunchbase.com/organization/swan-lane,"E-Commerce, Fashion, Sales","Crestwood, Kentucky, United States",Swan Lane is an e-commerce for clothes.,"3,200,566",Southern US,Active,,,,,,,For Profit,https://www.swanlaneshop.com,Swan Lane is an e commerce platform for buying women's clothes in different brands.,"Clothing and Apparel, Commerce and Shopping, Design, Sales and Marketing",,,,,,,,,,,,,
K & J Speedy Print,https://www.crunchbase.com/organization/k-j-speedy-print,"Business Development, Commercial, Printing","North Hollywood, California, United States",K & J Speedy Print provides commercial printing services.,"3,200,576","Greater Los Angeles Area, West Coast, Western US",Active,,,,,,,For Profit,https://www.kandjspeedyprint.com ,"K & J Speedy Print provides friendly, personal service; is fast and affordable; uses premium printing technology that offers pick-up and delivery; and guarantees customer satisfaction. Their services include advertising, sales, retail, special events, trade exhibitions, and much more. They choose the best paper stock, ink, coatings, binding, and printing technique for their requirements.","Content and Publishing, Media and Entertainment, Other, Professional Services",,11-50,,,,,,,,,,,
DNS Check,https://www.crunchbase.com/organization/dns-check,"Internet, Software","Somerville, New Jersey, United States",Domain Name System (DNS) Checker Tool,"3,200,578","Greater New York Area, East Coast, Northeastern US",Active,2017-10-01,day,,,,,For Profit,http://checkdnsserver.com,"Check DNS records for any website. Generate a DNS report containing ip address, name servers, mail exchanger, and more...","Internet Services, Software",,,,,,,,,,,,,
Natacha Smith,https://www.crunchbase.com/organization/natacha-smith,"Consulting, Finance, Financial Services","Flemington, New Jersey, United States","Tax Strategies, Money Management, Individual and Business Retirement Plans, Financial Advisor, Comprehensive Financial Planning","3,200,581","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,For Profit,,"As a financial professional, Natacha is dedicated to helping individuals and businesses build their financial futures. She is qualified to provide customized services across a broad range of fields including investment portfolio management, life and long-term care insurance, business insurance and benefits, 401(k) plans, and retirement planning. She holds the Series 7, 63, and 65 designations from the Financial Industry Regulation Authority (FINRA) along with holding her life, health, and disability insurance licenses.","Financial Services, Professional Services",,,,,,,,,,,,,
